AA,Helicoverpa_zea-GCF_022581195.2_ilHelZeax1.1_translated_cds,Aricia_agestis-GCF_905147365.1_ilAriAges1.1_translated_cds,Helicoverpa_armigera-GCF_023701775.1_HaSCD2_translated_cds,Pectinophora_gossypiella-GCF_024362695.1_ilPecGoss1.1_translated_cds,Amyelois_transitella-GCF_032362555.1_ilAmyTran1.1_translated_cds,Pieris_brassicae-GCF_905147105.1_ilPieBrab1.1_translated_cds,Melitaea_cinxia-GCF_905220565.1_ilMelCinx1.1_translated_cds,Pararge_aegeria-GCF_905163445.1_ilParAegt1.1_translated_cds,Nymphalis_io-GCF_905147045.1_ilAglIoxx1.1_translated_cds,Galleria_mellonella-GCF_026898425.1_CSIRO_AGI_GalMel_v1_translated_cds,Vanessa_atalanta-GCF_905147765.1_ilVanAtal1.2_translated_cds,Ostrinia_furnacalis-GCF_004193835.1_ASM419383v1_translated_cds,Leptidea_sinapis-GCF_905404315.1_ilLepSina1.1_translated_cds,Pieris_napi-GCF_905475465.1_ilPieNapi1.2_translated_cds,Leguminivora_glycinivorella-GCF_023078275.1_LegGlyc_1.1_translated_cds,Vanessa_cardui-GCF_905220365.1_ilVanCard2.1_translated_cds,Bombyx_mori-GCF_014905235.1_Bmori_2016v1.0_translated_cds,Plutella_xylostella-GCF_932276165.1_ilPluXylo3.1_translated_cds,Achroia_grisella-GCF_030625045.1_CSIRO_AGI_Agris_v1_translated_cds,Papilio_machaon-GCF_912999745.1_ilPapMach1.1_translated_cds,Zerene_cesonia-GCF_012273895.1_Zerene_cesonia_1.1_translated_cds,Danaus_plexippus-GCF_018135715.1_MEX_DaPlex_translated_cds,Colias_croceus-GCF_905220415.1_ilColCroc2.1_translated_cds,Spodoptera_frugiperda-GCF_023101765.2_AGI-APGP_CSIRO_Sfru_2.0_translated_cds,Cydia_pomonella-GCF_033807575.1_ilCydPomo1_translated_cds,Pieris_rapae-GCF_905147795.1_ilPieRapa1.1_translated_cds,Plodia_interpunctella-GCF_027563975.1_ilPloInte3.1_translated_cds,Manduca_sexta-GCF_014839805.1_JHU_Msex_v1.0_translated_cds,Spodoptera_litura-GCF_002706865.1_ASM270686v1_translated_cds,Bombyx_mandarina-GCF_003987935.1_ASM398793v1_translated_cds,Trichoplusia_ni-GCF_003590095.1_tn1_translated_cds,Papilio_polytes-GCF_000836215.1_Ppol_1.0_translated_cds,Maniola_jurtina-GCF_905333055.1_ilManJurt1.1_translated_cds,Bicyclus_anynana-GCF_947172395.1_ilBicAnyn1.1_translated_cds,Vanessa_tameamea-GCF_002938995.1_ASM293899v1_translated_cds
T,0.058565369,0.057152424,0.058372584,0.058936661,0.056873983,0.057525711,0.057200277,0.057621103,0.056957025,0.058155145,0.057063812,0.056651158,0.057319597,0.057571997,0.057725694,0.056966892,0.058477665,0.057065921,0.058584792,0.058025545,0.055966996,0.056964103,0.057583501,0.058886454,0.0574568,0.057426022,0.057612974,0.057617617,0.058715637,0.058077144,0.05773304,0.057950132,0.058486377,0.057775277,0.056835494
Q,0.039121234,0.03819085,0.038893178,0.039140984,0.039006594,0.038737085,0.038356937,0.038893045,0.038493989,0.03908569,0.038593008,0.038847795,0.038702377,0.038692413,0.03919848,0.038466457,0.038375188,0.039243263,0.038636796,0.038825245,0.038921601,0.038321146,0.039046519,0.039133254,0.039011827,0.038695468,0.03882185,0.038247504,0.038919674,0.038429408,0.039010844,0.038709806,0.039067532,0.03892052,0.038666747
G,0.055458984,0.055878667,0.055839267,0.055733669,0.055004766,0.055372529,0.053896396,0.054490378,0.055074666,0.054704567,0.055525774,0.056034151,0.054185781,0.054569852,0.056255873,0.054872999,0.05619341,0.057064213,0.055119262,0.056812209,0.055631874,0.05554986,0.054141147,0.055991236,0.055761534,0.055287259,0.055417859,0.057059749,0.056392064,0.055927995,0.055916757,0.055121871,0.053941294,0.054819395,0.054820647
E,0.065557969,0.066861038,0.06557885,0.066601192,0.066412192,0.066368808,0.065904014,0.066206429,0.066321081,0.06519163,0.066463694,0.066141176,0.066054541,0.066449187,0.065713494,0.066419994,0.066069554,0.065628436,0.064547032,0.06632376,0.066534279,0.066126055,0.066477885,0.065750426,0.065088409,0.066566538,0.065948906,0.06587937,0.065991463,0.066343205,0.065620872,0.066593523,0.066854627,0.065438067,0.066280463
D,0.055599057,0.056027935,0.055869155,0.055612411,0.055405416,0.055681697,0.055070115,0.055102803,0.055709334,0.054637894,0.055618633,0.055794218,0.055689136,0.055650139,0.055010626,0.055530091,0.054777528,0.055285008,0.05506338,0.054515038,0.055904988,0.055907303,0.055670664,0.055951009,0.054883245,0.055609771,0.055511584,0.055084056,0.056049415,0.055058191,0.055793969,0.05540013,0.055088954,0.055653414,0.055710569
H,0.025168187,0.024638679,0.025306515,0.025267657,0.024818754,0.024615972,0.024663592,0.024769678,0.024570732,0.025151356,0.024622221,0.025257653,0.025107481,0.024468879,0.026084011,0.02454809,0.025013877,0.0255135,0.025389625,0.024963541,0.025009247,0.02473832,0.024967488,0.025175671,0.026144383,0.024508817,0.02476448,0.025537703,0.025016995,0.02516777,0.025200535,0.024710578,0.024992215,0.025345965,0.024744067
K,0.063786658,0.063453373,0.06370893,0.063606052,0.065193457,0.064729853,0.066217175,0.064797048,0.064454437,0.063876696,0.064126832,0.062776704,0.064827172,0.065338956,0.063082358,0.064660045,0.063627655,0.061752409,0.06291293,0.063294294,0.063517408,0.064112671,0.065198266,0.063765617,0.063075951,0.065084413,0.064531122,0.062675873,0.06464476,0.063420614,0.063985704,0.065390296,0.065521003,0.063770965,0.064130937
W,0.011152803,0.01129114,0.011256227,0.011404487,0.011213199,0.011251509,0.011401595,0.011160055,0.011062137,0.011206572,0.011206831,0.011335622,0.011257298,0.011346678,0.01158277,0.011214574,0.011342452,0.011307706,0.01138464,0.011270473,0.011273841,0.0110721,0.011267206,0.011070385,0.011484446,0.011290149,0.011068904,0.011405275,0.011016435,0.01121364,0.011124373,0.011174241,0.011039884,0.011187291,0.011257645
C,0.020630881,0.020453277,0.020608819,0.020571729,0.020486363,0.020614559,0.020507032,0.020570952,0.020408995,0.020619993,0.020307777,0.020402719,0.020943932,0.020450717,0.0214506,0.020325153,0.020800864,0.020721271,0.020515195,0.020635538,0.020497711,0.020667412,0.020552038,0.020403615,0.021464499,0.020461487,0.02060181,0.02045925,0.019849354,0.020934412,0.020170992,0.020550927,0.020954693,0.021127763,0.020398899
N,0.047654892,0.047225163,0.047281221,0.0458065,0.048145597,0.049518062,0.050231813,0.049749427,0.05012571,0.05048474,0.049572525,0.045994772,0.050565924,0.050328655,0.044811478,0.049724625,0.048372883,0.044196008,0.049894316,0.048000748,0.048909113,0.049450184,0.050120181,0.047774237,0.045719944,0.049555898,0.047879646,0.046922794,0.048454346,0.048431038,0.047024718,0.050244803,0.04923425,0.048947588,0.050012346
X,1.24428E-05,2.10237E-06,3.70613E-06,2.28549E-06,6.81956E-06,1.00947E-05,3.00474E-05,9.36022E-06,7.11611E-06,1.17736E-05,7.03036E-06,6.36825E-05,1.67125E-05,1.68088E-05,1.51229E-05,4.98216E-06,8.22724E-06,7.09318E-06,3.41997E-05,8.83266E-06,9.80133E-05,4.60103E-06,4.16945E-06,1.9373E-05,6.93681E-06,6.25369E-06,1.72093E-06,1.69947E-05,0.00012604,3.15721E-05,1.75232E-05,8.82246E-05,2.71009E-06,2.43216E-05,3.4357E-05
*,0,0,8.36868E-07,0,1.31145E-07,6.02668E-07,1.33544E-07,2.67435E-07,2.96504E-07,3.96861E-07,0,2.64243E-07,1.53325E-07,0,4.03278E-06,1.38393E-07,9.28882E-07,0,5.16222E-07,1.35887E-07,0,1.00648E-06,0,3.70185E-07,1.74539E-05,4.46692E-07,0,2.09355E-05,1.21896E-07,8.97785E-07,3.392E-05,2.5207E-05,0,4.20952E-05,3.05396E-07
