AA FREQ,Helicoverpa_zea-GCF_022581195.2_ilHelZeax1.1_translated_cds,Aricia_agestis-GCF_905147365.1_ilAriAges1.1_translated_cds,Helicoverpa_armigera-GCF_023701775.1_HaSCD2_translated_cds,Pectinophora_gossypiella-GCF_024362695.1_ilPecGoss1.1_translated_cds,Amyelois_transitella-GCF_032362555.1_ilAmyTran1.1_translated_cds,Pieris_brassicae-GCF_905147105.1_ilPieBrab1.1_translated_cds,Melitaea_cinxia-GCF_905220565.1_ilMelCinx1.1_translated_cds,Pararge_aegeria-GCF_905163445.1_ilParAegt1.1_translated_cds,Nymphalis_io-GCF_905147045.1_ilAglIoxx1.1_translated_cds,Galleria_mellonella-GCF_026898425.1_CSIRO_AGI_GalMel_v1_translated_cds,Vanessa_atalanta-GCF_905147765.1_ilVanAtal1.2_translated_cds,Ostrinia_furnacalis-GCF_004193835.1_ASM419383v1_translated_cds,Leptidea_sinapis-GCF_905404315.1_ilLepSina1.1_translated_cds,Pieris_napi-GCF_905475465.1_ilPieNapi1.2_translated_cds,Leguminivora_glycinivorella-GCF_023078275.1_LegGlyc_1.1_translated_cds,Vanessa_cardui-GCF_905220365.1_ilVanCard2.1_translated_cds,Bombyx_mori-GCF_014905235.1_Bmori_2016v1.0_translated_cds,Plutella_xylostella-GCF_932276165.1_ilPluXylo3.1_translated_cds,Achroia_grisella-GCF_030625045.1_CSIRO_AGI_Agris_v1_translated_cds,Papilio_machaon-GCF_912999745.1_ilPapMach1.1_translated_cds,Zerene_cesonia-GCF_012273895.1_Zerene_cesonia_1.1_translated_cds,Danaus_plexippus-GCF_018135715.1_MEX_DaPlex_translated_cds,Colias_croceus-GCF_905220415.1_ilColCroc2.1_translated_cds,Spodoptera_frugiperda-GCF_023101765.2_AGI-APGP_CSIRO_Sfru_2.0_translated_cds,Cydia_pomonella-GCF_033807575.1_ilCydPomo1_translated_cds,Pieris_rapae-GCF_905147795.1_ilPieRapa1.1_translated_cds,Plodia_interpunctella-GCF_027563975.1_ilPloInte3.1_translated_cds,Manduca_sexta-GCF_014839805.1_JHU_Msex_v1.0_translated_cds,Spodoptera_litura-GCF_002706865.1_ASM270686v1_translated_cds,Bombyx_mandarina-GCF_003987935.1_ASM398793v1_translated_cds,Trichoplusia_ni-GCF_003590095.1_tn1_translated_cds,Papilio_polytes-GCF_000836215.1_Ppol_1.0_translated_cds,Maniola_jurtina-GCF_905333055.1_ilManJurt1.1_translated_cds,Bicyclus_anynana-GCF_947172395.1_ilBicAnyn1.1_translated_cds,Vanessa_tameamea-GCF_002938995.1_ASM293899v1_translated_cds,
T,0.058657831,0.057154513,0.058390033,0.059746468,0.056904803,0.057512346,0.057177826,0.057639545,0.056952999,0.058131986,0.057066485,0.05669011,0.057273364,0.057624468,0.057770188,0.056954446,0.05846701,0.057095826,0.058666385,0.058050114,0.055946781,0.056959722,0.057588205,0.059034232,0.0575062,0.057419221,0.057648421,0.057628155,0.058640269,0.058124078,0.057855858,0.057961185,0.058536932,0.057930617,0.056830425,T
Q,0.039101613,0.038203383,0.03889011,0.039087318,0.039022586,0.038727491,0.038355589,0.038912303,0.038489268,0.039089859,0.038618774,0.038948721,0.038708375,0.038671765,0.039155047,0.038516434,0.038371126,0.039285594,0.038597547,0.038807617,0.038959197,0.038326308,0.039011464,0.039121279,0.038998987,0.038680608,0.038785347,0.038225955,0.03890538,0.03840619,0.039026889,0.038704725,0.039028815,0.038857508,0.038669969,Q
G,0.055464839,0.055976309,0.0558594,0.055800636,0.055083064,0.055379733,0.053942153,0.05451069,0.055069969,0.054513118,0.055517093,0.056108455,0.054632327,0.05454366,0.056339513,0.054868689,0.056424801,0.057127765,0.055143649,0.056999318,0.055634819,0.055620263,0.054241477,0.055952492,0.055811714,0.055291624,0.055519762,0.057127934,0.056569583,0.055936914,0.056189929,0.055120252,0.053980699,0.054898773,0.05483497,G
E,0.065521535,0.066788776,0.065547992,0.0666199,0.066334817,0.066373314,0.065877229,0.066136656,0.066319101,0.065190528,0.066478565,0.066061811,0.065889716,0.066447123,0.065627283,0.066401724,0.066102999,0.065459008,0.064576166,0.066205956,0.066515923,0.066111091,0.066437554,0.065791223,0.06496885,0.066565877,0.065815992,0.065881006,0.066135687,0.066306774,0.065527199,0.066584197,0.066787523,0.065327991,0.066271959,E
D,0.055584391,0.055973527,0.055877411,0.055497072,0.055379177,0.055681789,0.055036895,0.055095147,0.055742639,0.05447031,0.0556416,0.055685115,0.055593698,0.055626857,0.054954312,0.055574031,0.054681319,0.055164339,0.055038267,0.054413451,0.055898032,0.055970989,0.055616261,0.055965383,0.054793073,0.055596671,0.055426126,0.055055782,0.056013746,0.055021593,0.05571798,0.055404947,0.05506106,0.055570261,0.055701279,D
H,0.025157731,0.024627122,0.025308236,0.02519356,0.024806704,0.024613967,0.024643654,0.024760428,0.024569462,0.025123126,0.024607531,0.0252019,0.025027671,0.02447148,0.026089706,0.024544762,0.024988492,0.025474887,0.025364701,0.024958296,0.025004465,0.024724207,0.024979929,0.025175853,0.026155826,0.024506548,0.024730101,0.025520662,0.024861311,0.025160737,0.025174794,0.024699508,0.025056265,0.025346295,0.024744954,H
K,0.063773507,0.063415504,0.063707988,0.063599801,0.065132342,0.064728116,0.06620073,0.064805466,0.06445074,0.063888007,0.064113218,0.062602869,0.064679348,0.065316689,0.063019536,0.064633185,0.063603912,0.061800471,0.062830028,0.06316341,0.063486905,0.064081782,0.065117874,0.063703375,0.062999352,0.065038558,0.064442872,0.06259595,0.064716549,0.063373003,0.063845308,0.065345204,0.065452091,0.063655574,0.0641145,K
W,0.01123033,0.011729605,0.011378186,0.012042544,0.011467404,0.011285248,0.011614635,0.011408756,0.011083335,0.011598441,0.011246185,0.012242634,0.012123259,0.011395846,0.012055049,0.01126461,0.011768368,0.012084046,0.01159209,0.011663591,0.011440796,0.011319021,0.011503188,0.011256087,0.011980246,0.01134371,0.011461298,0.011886805,0.01231069,0.011359617,0.011907377,0.011440844,0.011306051,0.011579012,0.011315257,W
C,0.020632562,0.020435464,0.02059634,0.020452972,0.020446653,0.020614809,0.020495475,0.020605114,0.020409433,0.020649919,0.020306396,0.020331349,0.020877167,0.020437058,0.021433766,0.020314641,0.020760325,0.020702096,0.020492425,0.020647435,0.020485848,0.020655133,0.020529781,0.020367847,0.021506428,0.020447234,0.020556557,0.020448771,0.019579017,0.020932896,0.02010932,0.020526364,0.020995411,0.021173149,0.020396324,C
N,0.047676569,0.04737101,0.047313147,0.045902844,0.048148258,0.049517493,0.05025608,0.049801911,0.050128666,0.050572927,0.04955669,0.045917821,0.050824954,0.050322689,0.044790798,0.049741236,0.048324403,0.044316227,0.049945201,0.048012632,0.048921279,0.049487796,0.050182822,0.047790669,0.04565687,0.049563103,0.047980425,0.046942661,0.048410134,0.048410875,0.047083931,0.050221704,0.049221899,0.048906468,0.050011464,N
X,1.24227E-05,2.0863E-06,3.69766E-06,2.25605E-06,6.79217E-06,1.00886E-05,2.99291E-05,9.31088E-06,7.11192E-06,1.16157E-05,7.02274E-06,6.24962E-05,1.65492E-05,1.67795E-05,1.49914E-05,4.97596E-06,8.19156E-06,6.98268E-06,3.40566E-05,8.7927E-06,9.76509E-05,4.58277E-06,4.15626E-06,1.92762E-05,6.86699E-06,6.2467E-06,1.70966E-06,1.68408E-05,0.000122938,3.14753E-05,1.73238E-05,8.76861E-05,2.69577E-06,2.41475E-05,3.43229E-05,X
*,0,0,8.34956E-07,0,1.30619E-07,6.02306E-07,1.33018E-07,2.66025E-07,2.9633E-07,3.91539E-07,0,2.5932E-07,1.51827E-07,0,3.99769E-06,1.38221E-07,9.24854E-07,0,5.14062E-07,1.35272E-07,0,1.00248E-06,0,3.68335E-07,1.72782E-05,4.46193E-07,0,2.07459E-05,1.18896E-07,8.95034E-07,3.35339E-05,2.50532E-05,0,4.17938E-05,3.05092E-07,*
